Serial No,Date,Entry Time,Exit Time,Position Type,Entry Price,Exit Price,Profit
1,2024-06-27,10:45,14:30,buy,1692.25,1706.35,14.1
2,2024-07-02,09:30,13:00,sell,1705.95,1733.5,-27.55
3,2024-07-03,09:30,13:15,buy,1776.75,1772.75,-4.0
4,2024-07-04,14:45,15:00,sell,1729.5,1727.2,2.3
5,2024-07-04,15:00,15:15,buy,1727.2,1728.0,0.8
6,2024-07-08,09:30,09:45,sell,1644.8,1641.1,3.7
7,2024-07-08,09:45,15:15,buy,1641.1,1638.15,-2.95
8,2024-07-09,11:30,15:15,buy,1645.35,1637.2,-8.15
9,2024-07-11,09:30,10:15,sell,1613.95,1604.7,9.25
10,2024-07-11,13:45,15:15,buy,1611.4,1623.55,12.15
11,2024-07-12,09:45,10:00,sell,1616.95,1612.15,4.8
12,2024-07-12,10:00,10:45,buy,1612.15,1623.45,11.3
13,2024-07-15,12:15,12:30,sell,1617.45,1618.3,-0.85
14,2024-07-15,12:30,15:15,buy,1618.3,1623.5,5.2
15,2024-07-18,09:45,13:30,buy,1618.95,1615.2,-3.75
16,2024-07-18,14:45,15:00,sell,1617.35,1613.85,3.5
17,2024-07-18,15:00,15:15,buy,1613.85,1615.5,1.65
18,2024-07-19,14:00,14:15,sell,1606.8,1607.7,-0.9
19,2024-07-19,14:15,15:15,buy,1607.7,1605.95,-1.75
20,2024-07-22,12:15,12:30,sell,1635.4,1636.5,-1.1
21,2024-07-22,12:30,15:15,buy,1636.5,1641.95,5.45
22,2024-07-23,13:15,14:30,buy,1610.55,1628.2,17.65
23,2024-07-24,09:30,09:45,sell,1614.0,1617.95,-3.95
24,2024-07-24,09:45,10:15,buy,1617.95,1610.95,-7.0
25,2024-07-24,13:45,14:15,sell,1599.0,1598.65,0.35
26,2024-07-24,14:15,15:15,buy,1598.65,1607.2,8.55
27,2024-07-26,12:00,12:15,sell,1603.75,1603.7,0.05
28,2024-07-26,12:15,15:15,buy,1603.7,1617.3,13.6
29,2024-07-29,09:45,10:00,sell,1615.2,1615.5,-0.3
30,2024-07-29,10:00,12:00,buy,1615.5,1616.75,1.25
31,2024-07-29,13:00,15:15,sell,1606.05,1604.5,1.55
32,2024-07-30,13:15,13:30,sell,1622.5,1625.7,-3.2
33,2024-07-30,13:30,15:15,buy,1625.7,1614.2,-11.5
34,2024-07-31,11:15,14:45,sell,1615.25,1612.55,2.7
35,2024-08-01,09:30,09:45,sell,1627.95,1628.25,-0.3
36,2024-08-01,09:45,15:15,buy,1628.25,1647.5,19.25
37,2024-08-02,12:15,12:30,sell,1665.9,1660.6,5.3
38,2024-08-02,12:30,15:15,buy,1660.6,1658.05,-2.55
39,2024-08-05,10:30,14:00,sell,1628.75,1617.25,11.5
40,2024-08-06,09:30,09:45,sell,1623.5,1626.6,-3.1
41,2024-08-06,09:45,15:15,buy,1626.6,1602.7,-23.9
42,2024-08-07,14:15,15:15,buy,1623.4,1629.1,5.7
43,2024-08-08,09:45,10:00,sell,1626.8,1621.5,5.3
44,2024-08-08,10:00,15:15,buy,1621.5,1640.2,18.7
45,2024-08-12,10:15,14:00,buy,1662.45,1673.8,11.35
46,2024-08-16,09:30,11:45,sell,1616.4,1624.9,-8.5
47,2024-08-16,11:45,15:15,buy,1624.9,1630.5,5.6
48,2024-08-20,09:30,13:15,buy,1637.45,1642.45,5.0
49,2024-08-21,13:15,14:30,sell,1619.65,1623.3,-3.65
50,2024-08-21,14:30,15:15,buy,1623.3,1627.95,4.65
51,2024-08-26,14:00,15:15,sell,1644.65,1638.5,6.15
52,2024-08-27,09:45,13:30,buy,1643.0,1639.6,-3.4
53,2024-08-28,14:15,15:15,sell,1637.15,1635.95,1.2
54,2024-08-29,12:45,13:00,sell,1635.85,1638.7,-2.85
55,2024-08-29,13:00,15:15,buy,1638.7,1641.85,3.15
56,2024-09-02,14:00,15:15,buy,1627.15,1625.9,-1.25
57,2024-09-03,11:00,14:30,sell,1629.15,1631.8,-2.65
58,2024-09-06,09:15,09:30,sell,1643.9,1640.1,3.8
59,2024-09-06,09:30,15:15,buy,1640.1,1638.15,-1.95
60,2024-09-09,12:00,12:45,sell,1640.4,1635.75,4.65
61,2024-09-09,12:45,15:15,buy,1635.75,1644.5,8.75
62,2024-09-10,09:45,10:00,sell,1640.15,1642.0,-1.85
63,2024-09-10,10:00,15:15,buy,1642.0,1650.8,8.8
64,2024-09-11,10:45,12:45,sell,1648.3,1646.1,2.2
65,2024-09-11,12:45,15:15,buy,1646.1,1644.8,-1.3
66,2024-09-12,09:45,10:00,sell,1654.0,1655.65,-1.65
67,2024-09-12,10:00,15:15,buy,1655.65,1661.9,6.25
68,2024-09-13,11:15,11:30,sell,1663.65,1664.7,-1.05
69,2024-09-13,11:30,15:15,buy,1664.7,1665.0,0.3
70,2024-09-17,09:45,13:15,sell,1666.85,1669.4,-2.55
71,2024-09-18,09:15,13:00,buy,1676.8,1689.95,13.15
72,2024-09-19,09:15,13:00,buy,1711.0,1714.4,3.4
73,2024-09-20,09:45,13:30,buy,1719.85,1727.05,7.2
74,2024-09-26,14:30,15:15,buy,1781.95,1778.0,-3.95
75,2024-09-27,12:45,15:15,sell,1759.8,1752.0,7.8
76,2024-10-01,09:15,13:00,buy,1733.85,1723.35,-10.5
77,2024-10-04,10:00,10:15,sell,1672.8,1668.75,4.05
78,2024-10-04,10:15,12:30,buy,1668.75,1670.75,2.0
79,2024-10-07,13:45,14:30,buy,1627.7,1635.05,7.35
80,2024-10-08,10:15,14:00,buy,1641.45,1653.6,12.15
81,2024-10-09,11:30,11:45,sell,1646.0,1642.55,3.45
