Serial No,Date,Entry Time,Exit Time,Position Type,Entry Price,Exit Price,Profit,profit/loss(100000),Amount(100000) After Charges
1,2024-10-01,10:45,14:30,buy,1726.25,1723.5,-2.75,-789.6,98973.3
2,2024-10-04,10:00,10:15,sell,1672.8,1668.75,4.05,1212.84,99947.3
3,2024-10-04,10:15,11:00,buy,1668.75,1689.3,20.55,6435.04,105797.7
4,2024-10-04,12:15,12:30,sell,1683.9,1670.75,13.15,4317.94,109721.7
5,2024-10-07,13:45,14:30,buy,1627.7,1635.05,7.35,2516.04,111941.3
6,2024-10-08,10:15,14:00,buy,1641.45,1653.6,12.15,4254.38,115803.2
7,2024-10-09,11:30,11:45,sell,1646.0,1642.55,3.45,1226.23,116761.7
8,2024-10-09,11:45,15:00,buy,1642.55,1634.1,-8.45,-2934.14,113483.5
9,2024-10-10,10:15,10:30,sell,1638.9,1639.7,-0.8,-275.55,112953.2
10,2024-10-10,10:30,14:15,buy,1639.7,1662.85,23.15,8392.34,120563.4
11,2024-10-10,14:45,15:00,sell,1660.3,1663.0,-2.7,-968.61,119318.4
12,2024-10-14,09:30,13:15,buy,1676.95,1683.9,6.95,2507.69,121516.7
13,2024-10-15,10:00,10:15,sell,1682.35,1683.5,-1.15,-412.71,120833.6
14,2024-10-15,10:15,15:00,buy,1683.5,1683.8,0.3,107.5,120674.5
15,2024-10-16,11:15,11:30,sell,1703.3,1702.15,1.15,408.13,120815.7
16,2024-10-16,11:30,15:00,buy,1702.15,1700.9,-1.25,-441.33,120105.0
17,2024-10-18,11:30,15:00,buy,1670.7,1682.0,11.3,4161.05,123874.0
18,2024-10-21,14:00,15:00,sell,1734.75,1729.4,5.35,1941.48,125517.8
19,2024-10-23,12:00,12:15,sell,1736.6,1738.45,-1.85,-662.84,124574.6
20,2024-10-23,12:15,15:00,buy,1738.45,1736.0,-2.45,-870.92,123422.0
21,2024-10-24,09:30,09:45,sell,1753.2,1751.65,1.55,547.28,123696.6
22,2024-10-24,09:45,15:00,buy,1751.65,1749.95,-1.7,-596.59,122823.8
23,2024-10-25,10:15,13:45,sell,1735.0,1736.9,-1.9,-666.63,121881.7
24,2024-10-25,14:45,15:00,buy,1741.4,1744.35,2.95,1037.06,122643.6
25,2024-10-28,09:30,09:45,sell,1742.15,1748.95,-6.8,-2332.62,119989.3
26,2024-10-28,11:00,11:15,sell,1735.7,1735.0,0.7,242.01,119966.1
27,2024-10-28,11:15,15:00,buy,1735.0,1734.35,-0.65,-223.89,119476.2
28,2024-10-29,11:30,14:00,buy,1737.75,1762.65,24.9,9016.26,127650.7
29,2024-10-30,09:30,09:45,sell,1742.5,1743.15,-0.65,-237.03,127133.6
30,2024-10-30,09:45,15:00,buy,1743.15,1732.95,-10.2,-3623.19,123113.9
31,2024-10-31,10:00,10:15,sell,1731.2,1734.25,-3.05,-1070.69,121760.4
32,2024-10-31,10:15,15:00,buy,1734.25,1735.1,0.85,298.32,121790.2
33,2024-11-01,18:15,18:30,sell,1738.75,1736.6,2.15,756.92,122275.6
34,2024-11-01,18:30,09:15,buy,1736.6,1730.6,-6.0,-2078.24,119886.5
35,2024-11-04,10:00,13:30,sell,1735.65,1717.05,18.6,6830.72,126114.9
36,2024-11-05,10:15,10:30,buy,1720.05,1710.85,-9.2,-3292.28,122447.6
37,2024-11-05,11:15,11:30,sell,1712.45,1706.35,6.1,2222.98,124366.6
38,2024-11-05,11:30,13:15,buy,1706.35,1736.45,30.1,11689.54,134872.4
39,2024-11-06,10:15,10:30,sell,1747.55,1748.45,-0.9,-345.48,134233.0
40,2024-11-06,10:30,15:00,buy,1748.45,1755.1,6.65,2585.68,136484.9
41,2024-11-07,13:15,13:30,sell,1745.6,1743.1,2.5,983.65,137168.5
42,2024-11-07,13:30,15:00,buy,1743.1,1745.95,2.85,1126.25,137991.5
43,2024-11-08,14:00,15:00,sell,1757.35,1754.4,2.95,1167.4,138853.8
44,2024-11-11,12:15,12:30,sell,1775.8,1775.45,0.35,136.7,138691.1
45,2024-11-11,12:30,15:00,buy,1775.45,1768.2,-7.25,-2778.89,135548.6
46,2024-11-14,10:30,10:45,sell,1692.75,1686.35,6.4,2615.39,137827.2
47,2024-11-14,10:45,15:00,buy,1686.35,1693.85,7.5,3112.31,140580.9
48,2024-11-18,12:30,12:45,sell,1711.9,1709.75,2.15,887.55,141162.2
49,2024-11-18,12:45,15:00,buy,1709.75,1705.5,-4.25,-1733.14,139099.6
50,2024-11-19,09:30,12:45,buy,1724.75,1749.2,24.45,10380.01,148521.2
51,2024-11-19,14:00,15:00,sell,1743.9,1741.95,1.95,834.18,149035.4
52,2024-11-21,11:30,15:00,buy,1742.0,1741.75,-0.25,-106.65,148610.4
53,2024-11-22,10:15,10:30,sell,1739.1,1734.9,4.2,1816.78,150092.1
54,2024-11-22,10:30,15:00,buy,1734.9,1745.95,11.05,4889.79,154521.7
55,2024-11-25,14:30,15:00,buy,1772.5,1781.2,8.7,3857.84,157967.4
56,2024-11-26,10:15,10:30,sell,1776.75,1777.1,-0.35,-155.08,157477.6
57,2024-11-26,10:30,15:00,buy,1777.1,1785.95,8.85,3990.2,161046.1
58,2024-11-28,10:15,10:30,sell,1824.0,1808.9,15.1,6988.12,167428.0
59,2024-11-29,10:00,10:15,sell,1786.35,1790.15,-3.8,-1754.43,165299.5
60,2024-11-29,10:15,15:00,buy,1790.15,1796.1,5.95,2777.56,167689.9
61,2024-12-02,14:45,15:00,sell,1800.65,1804.9,-4.25,-1946.91,165363.7
62,2024-12-03,10:15,14:00,buy,1835.0,1829.75,-5.25,-2333.32,162643.7
63,2024-12-04,09:30,10:45,buy,1839.95,1860.4,20.45,9411.58,171240.1
64,2024-12-04,11:45,12:00,sell,1854.35,1853.5,0.85,392.73,171274.4
65,2024-12-04,12:00,15:00,buy,1853.5,1860.1,6.6,3086.12,173954.5
66,2024-12-05,13:15,13:30,sell,1863.95,1867.1,-3.15,-1451.96,172123.8
67,2024-12-05,13:30,14:45,buy,1867.1,1857.5,-9.6,-4323.64,167316.0
68,2024-12-06,11:00,11:15,sell,1859.0,1855.95,3.05,1383.22,168339.5
69,2024-12-06,11:15,15:00,buy,1855.95,1857.6,1.65,749.38,168734.1
70,2024-12-09,09:30,09:45,sell,1863.0,1865.5,-2.5,-1120.68,167249.7
71,2024-12-09,09:45,15:00,buy,1865.5,1867.95,2.45,1101.71,167995.4
72,2024-12-10,10:30,12:15,sell,1867.25,1864.95,2.3,1040.14,168678.8
73,2024-12-10,12:15,15:00,buy,1864.95,1868.45,3.5,1591.34,169905.0
74,2024-12-11,11:45,12:00,sell,1867.05,1866.5,0.55,250.17,169799.4
75,2024-12-11,12:00,15:00,buy,1866.5,1865.25,-1.25,-565.86,168874.7
76,2024-12-12,12:00,12:30,sell,1859.7,1858.1,1.6,728.69,169247.7
77,2024-12-12,12:30,15:00,buy,1858.1,1859.6,1.5,683.92,169575.6
78,2024-12-13,14:15,15:00,buy,1870.9,1871.85,0.95,430.5,169650.5
79,2024-12-16,09:30,13:15,buy,1868.8,1862.5,-6.3,-2814.72,166425.8
80,2024-12-17,09:30,13:00,sell,1851.45,1838.45,13.0,6079.81,171960.3
81,2024-12-19,09:30,13:15,buy,1786.05,1795.0,8.95,4384.94,175887.7
82,2024-12-20,09:30,09:45,buy,1791.2,1778.25,-12.95,-6157.9,169116.4
83,2024-12-20,12:00,15:00,sell,1792.25,1767.9,24.35,12424.19,180408.5
84,2024-12-23,10:30,10:45,sell,1799.1,1803.4,-4.3,-2120.7,177882.6
85,2024-12-23,10:45,15:00,buy,1803.4,1801.45,-1.95,-955.54,176549.4
86,2024-12-26,09:30,09:45,sell,1802.6,1801.35,1.25,613.41,176794.0
87,2024-12-26,09:45,15:00,buy,1801.35,1789.25,-12.1,-5763.35,170447.6
88,2024-12-27,10:15,10:30,sell,1794.85,1798.5,-3.65,-1708.42,168361.1
89,2024-12-27,10:30,15:00,buy,1798.5,1798.2,-0.3,-140.03,167867.5
90,2024-12-30,11:00,11:15,sell,1793.85,1804.2,-10.35,-4666.75,162700.3
91,2024-12-30,11:15,12:15,buy,1804.2,1800.5,-3.7,-1651.03,160685.8
92,2024-12-30,13:00,15:00,sell,1793.55,1776.05,17.5,8289.75,168263.0
93,2024-12-31,14:15,14:45,sell,1771.5,1771.65,-0.15,-71.05,167838.8
94,2024-12-31,14:45,15:00,buy,1771.65,1773.1,1.45,687.64,168172.9
95,2025-01-01,09:30,10:45,sell,1766.5,1784.35,-17.85,-7973.33,159408.4
96,2025-01-01,10:45,15:00,buy,1784.35,1782.2,-2.15,-953.7,158110.0
97,2025-01-02,10:15,14:00,buy,1791.75,1793.95,2.2,973.38,158745.0
98,2025-01-03,09:30,10:45,sell,1776.55,1756.35,20.2,9634.38,167538.1
99,2025-01-06,10:30,14:00,sell,1729.05,1706.95,22.1,11524.97,178032.1
100,2025-01-07,11:15,15:00,buy,1715.6,1713.95,-1.65,-851.04,176804.5
101,2025-01-08,14:00,15:00,buy,1695.15,1694.2,-0.95,-493.28,175940.3
102,2025-01-10,13:15,15:00,sell,1661.2,1654.45,6.75,3654.83,179162.5
103,2025-01-13,09:30,09:45,sell,1629.3,1626.0,3.3,1832.74,180607.8
104,2025-01-13,09:45,15:00,buy,1626.0,1632.5,6.5,3659.67,183828.0
105,2025-01-14,11:30,11:45,sell,1644.0,1642.75,1.25,700.6,184146.1
106,2025-01-14,11:45,15:00,buy,1642.75,1647.1,4.35,2458.72,186196.0
